dose_ppm_hr,expected_delta_l_star,expected_delta_e00,pad_srgb,stage,stage_label,stage_validated,x_mm,y_mm
0.0,0.0,0.0,220 232 232,1,SAFE - unexposed baseline,False,10.0,25.0
1.0,0.6092934168052153,0.5898895553183692,219 230 230,2,PERMISSIBLE - trace background,False,46.0,25.0
2.0,1.2144648525844417,1.1790639021649172,218 229 227,3,COMPLIANT / ACTION,False,82.0,25.0
4.0,2.4125230329197365,2.349791625361742,215 225 222,3,COMPLIANT / ACTION,False,118.0,25.0
6.0,3.5943354928843405,3.5021533281419064,213 222 217,3,COMPLIANT / ACTION,False,154.0,25.0
8.0,4.7600607268102095,4.629401144283097,210 218 212,4,WARNING - exceeds 8-hr TLV,False,10.0,61.0
12.0,7.043871426895592,6.7999912335586234,206 212 202,4,WARNING - exceeds 8-hr TLV,False,46.0,61.0
16.0,9.265175346665117,8.863823060645224,201 206 192,4,WARNING - exceeds 8-hr TLV,False,82.0,61.0
24.0,13.524960443641334,12.720557999934417,192 194 174,4,WARNING - exceeds 8-hr TLV,False,118.0,61.0
32.0,17.548462897023597,16.21431146689297,183 182 158,4,WARNING - exceeds 8-hr TLV,False,154.0,61.0
48.0,24.920223305916338,22.20762452912957,171 161 133,5,CRITICAL / EVACUATE,False,10.0,97.0
64.0,31.443190213133093,27.969764530012416,159 142 111,5,CRITICAL / EVACUATE,False,46.0,97.0
96.0,42.16625069736088,38.10977370428176,139 112 77,5,CRITICAL / EVACUATE,False,82.0,97.0
128.0,50.139113915260005,46.23956198400629,124 90 53,5,CRITICAL / EVACUATE,False,118.0,97.0
160.0,55.787221886248645,51.619978563331394,108 77 44,5,CRITICAL / EVACUATE,False,154.0,97.0
200.0,60.28905559244769,56.251523415036864,96 67 39,5,CRITICAL / EVACUATE,False,10.0,133.0
